EDAD,Básico,Pér. Org.,Muerte Acc,Muerte Acc Col,Invalidez,Otros,Certificados,Reaseguro
19, 345 , -   , -   , -   , -   , -   ,1,Automático
37, 347 , -   , -   , -   , -   , -   ,1,Automático
57, 347 , -   , -   , -   , -   , -   ,1,Automático
37, 354 , -   , -   , -   , -   , -   ,1,Automático
51, 357 , -   , -   , -   , -   , -   ,1,Automático
43, 361 , -   , -   , -   , -   , -   ,1,Automático
44, 362 , -   , -   , -   , 362 , -   ,4,Automático
58, 362 , -   , -   , -   , 362 , -   ,1,Automático
20, 368 , -   , -   , -   , 368 , -   ,1,Automático
34, 369 , -   , -   , -   , -   , -   ,1,Automático
58, 372 , -   , -   , -   , -   , -   ,1,Automático
56, 373 , -   , -   , -   , -   , -   ,1,Automático
28, 375 , -   , -   , -   , -   , -   ,1,Facultativo
40, 380 , -   , -   , -   , 380 , -   ,1,Automático
56, 383 , -   , -   , -   , -   , -   ,1,Facultativo
41, 384 , -   , -   , -   , -   , -   ,1,Automático
57, 385 , -   , -   , -   , -   , -   ,1,Automático
70, 387 , -   , -   , -   , -   , -   ,1,Automático
44, 389 , -   , -   , -   , -   , -   ,1,Automático
37, 390 , -   , -   , -   , -   , -   ,1,Automático
88, 406 , -   , -   , -   , -   , -   ,1,Automático
32, 409 , -   , -   , -   , -   , -   ,1,Automático
33, 409 , -   , -   , -   , -   , -   ,1,Automático
39, 409 , -   , -   , -   , -   , -   ,1,Automático
69, 412 , -   , -   , -   , -   , -   ,1,Automático
41, 412 , -   , -   , -   , -   , -   ,1,Facultativo
70, 413 , -   , -   , -   , -   , -   ,1,Automático
44, 415 , -   , -   , -   , -   , -   ,1,Automático
38, 424 , -   , -   , -   , 424 , -   ,1,Automático
48, 425 , -   , -   , -   , -   , -   ,1,Automático
28, 427 , -   , -   , -   , -   , -   ,1,Automático
59, 430 , -   , -   , -   , -   , -   ,1,Automático
55, 430 , -   , -   , -   , -   , -   ,1,Automático
67, 431 , -   , -   , -   , -   , -   ,1,Automático
49, 440 , -   , -   , -   , -   , -   ,1,Automático
22, 441 , -   , -   , -   , -   , -   ,1,Automático
36, 442 , -   , -   , -   , -   , -   ,1,Automático
72, 444 , -   , -   , -   , -   , -   ,1,Automático
35, 458 , -   , -   , -   , -   , -   ,1,Automático
39, 462 , -   , -   , -   , -   , -   ,1,Facultativo
44, 462 , -   , -   , -   , 462 , -   ,2,Automático
39, 465 , -   , -   , -   , -   , -   ,1,Facultativo
32, 469 , -   , -   , -   , 469 , -   ,1,Automático
29, 470 , -   , -   , -   , -   , -   ,1,Automático
61, 473 , -   , -   , -   , -   , -   ,1,Automático
26, 476 , -   , -   , -   , 476 , -   ,1,Automático
31, 480 , -   , -   , -   , 480 , -   ,1,Automático
68, 483 , -   , -   , -   , -   , -   ,1,Automático
58, 484 , -   , -   , -   , -   , -   ,1,Automático
31, 484 , -   , -   , -   , -   , -   ,1,Automático
44, 484 , -   , -   , -   , -   , -   ,1,Automático
51, 485 , -   , -   , -   , -   , -   ,1,Automático
58, 490 , -   , -   , -   , 490 , -   ,1,Automático
28, 500 , -   , -   , -   , -   , -   ,575,Automático
57, 500 , -   , -   , -   , -   , -   ,67,Automático
58, 500 , -   , -   , -   , -   , -   ,118,Automático
59, 500 , -   , -   , -   , -   , -   ,45,Automático
63, 500 , -   , -   , -   , -   , -   , 114 ,Automático
85, 500 , -   , -   , -   , -   , -   ,4,Automático
36, 501 , -   , -   , -   , 501 , -   ,1,Automático
22, 502 , -   , -   , -   , -   , -   ,1,Automático
70, 504 , -   , -   , -   , 504 , -   ,1,Automático
38, 505 , -   , -   , -   , -   , -   ,1,Automático
47, 507 , -   , -   , -   , -   , -   ,1,Automático
41, 508 , -   , -   , -   , 508 , -   ,1,Automático
37, 509 , -   , -   , -   , 509 , -   ,1,Automático
36, 509 , -   , -   , -   , 509 , -   ,2,Automático
43, 511 , -   , -   , -   , 511 , -   ,1,Automático
48, 511 , -   , -   , -   , -   , -   ,1,Automático
44, 512 , -   , -   , -   , -   , -   ,1,Automático
